"","timestamp","bean_kind","extract_age","alcohol_ratio","alcohol_heated","split","oak_finish","flavor","smell_boozy","smell_vanilla","color","use_again"
"184","7/20/2021 13:43","Indonesian","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,3,5,5,"Yes"
"185","7/20/2021 13:45","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","Yes, I used Light Toast",2,1,3,5,"No"
"186","7/20/2021 13:46","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","Yes, all the beans were split","No",5,5,5,5,"Yes"
"187","7/20/2021 13:47","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","Yes, all the beans were split","No",5,5,5,5,"Yes"
"188","7/20/2021 13:49","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","Yes, all the beans were split","No",5,5,5,5,"Yes"
"189","7/20/2021 13:51","Madagascar Mexican Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"190","7/20/2021 13:53","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","",4,5,5,5,"Yes"
"191","7/20/2021 13:54","Papua New Guinea V. planifolia","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"192","7/20/2021 13:54","All bean types","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,1,5,5,"Yes"
"193","7/20/2021 13:55","Papua New Guinea V. planifolia","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"194","7/20/2021 13:56","Papua New Guinea V. planifolia","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"195","7/20/2021 13:57","V. tahitensis Papua New Guinea","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous Vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"196","7/20/2021 13:58","V. tahitensis Papua New Guinea","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","Sous vide 130 degrees for 72 hours","None of the beans were split","No",5,5,5,5,"Yes"
"197","7/20/2021 14:19","Madagascar Bourbon Cure","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","Yes, I used Light Toast",5,5,5,5,"Yes"
"198","7/20/2021 14:36","Madagascar Bourbon Cure","15-18 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,3,4,5,"Yes"
"199","7/20/2021 14:52","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,3,4,3,"Yes"
"200","7/20/2021 15:14","Various - Mother Jar","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,5,5,"Yes"
"201","7/20/2021 15:18","Madagascar Bourbon Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,3,4,"Yes"
"202","7/20/2021 15:20","Sri Lankan","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,2,4,"Maybe"
"203","7/20/2021 15:22","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",2,2,2,2,"Maybe"
"204","7/20/2021 15:24","Papua New Guinea V. planifolia","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",2,4,1,3,"Yes"
"205","7/20/2021 15:26","Madagascar Bourbon Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,3,4,"Yes"
"206","7/20/2021 15:36","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,4,5,"Yes"
"207","7/20/2021 17:04","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,3,3,"Maybe"
"208","7/20/2021 17:50","Papua New Guinea V. planifolia","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,3,4,5,"Yes"
"209","7/20/2021 17:51","Madagascar Bourbon Cure","6-9 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,2,3,4,"No"
"210","7/20/2021 17:53","Madagascar Mexican Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","1:1 ratio","None of the beans were split","No",4,3,3,5,"Yes"
"211","7/20/2021 19:03","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,5,5,4,"Yes"
"212","7/21/2021 0:31","Papua New Guinea V. planifolia","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",NA,4,5,5,"Yes"
"213","7/21/2021 0:33","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",2,2,3,3,"Yes"
"214","7/21/2021 15:38","Indonesian","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,3,5,NA,"Yes"
"215","7/24/2021 6:03","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Nope","Yes, all the beans were split","No",5,5,5,5,"Yes"
"216","7/24/2021 6:03","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Nope","Yes, all the beans were split","No",5,5,5,5,"Yes"
"217","7/24/2021 6:08","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,4,5,4,"Yes"
"218","7/24/2021 6:10","Madagascar Bourbon Cure","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,3,5,4,"Yes"
